"1238","9","805"
"1239","3","38"
"1240","8","1569"
"1241","8","355"
"1242","17","684"
"1243","10","703"
"1244","13","1342"
"1245","10","943"
"1246","11","1828"
"1247","14","478"
"1248","15","1208"
"1249","4","55"
"1250","6","83"
"1280","5","429"
"1281","11","726"
"1282","6","721"
"1283","8","817"
"1284","5","459"
"1285","2","329"
"1286","6","341"
"1287","7","1719"
"1288","9","412"
"1289","12","763"
"1290","9","660"
"1291","10","2937"
"1292","3","344"
"1293","6","1211"
"1294","1","62"
"1295","6","1704"
"1296","5","773"
"1494","13","859"
"1496","1","37"
"1510","6","493"
"1511","2","236"
"1512","12","323"
"1513","12","617"
"1514","9","353"
"1515","10","523"
"1516","19","420"
"1517","5","200"
"1518","15","471"
"1519","12","592"
"1520","13","506"
"1521","17","590"
"1522","12","373"
"1523","16","409"
"1524","12","413"
"1525","17","473"
"1526","11","713"
"1527","16","588"
"1528","12","466"
"1529","12","665"
"1530","12","375"
"1531","12","901"
"1532","13","1045"
"1533","15","1002"
"1534","1","37"
"1535","18","1229"
"1536","9","501"
"1537","10","735"
"1538","11","885"
"1539","4","430"
"1540","13","727"
"1541","15","859"
"1542","14","1078"
"1543","17","397"
"1545","11","683"
"1546","8","303"
"1547","12","256"
"1548","22","509"
"1549","19","396"
"1550","20","408"
"1551","22","726"
"1552","12","485"
"1553","13","263"
"1554","10","297"
"1555","15","233"
"1556","14","621"
"1557","8","231"
"1558","18","226"
"1559","9","287"
"1560","11","268"
"1561","17","355"
"1562","19","383"
"1563","12","306"
"1564","7","998"
"1566","12","455"
"1567","8","341"
"1568","17","570"
"1569","16","373"
"1570","11","593"
"1571","13","1146"
"1572","19","555"
"1573","9","547"
"1575","27","714"
"1576","2","117"
"1577","13","291"
"1578","13","320"
"1579","17","928"
"1580","15","674"
"1581","4","86"
"1585","13","654"
"1586","7","505"
"1587","10","396"
"1588","2","262"
"1589","7","229"
"1590","6","633"
"1591","6","424"
"1592","9","645"
"1593","8","1281"
"1594","1","14"
"1598","8","879"
"1599","25","473"
"1600","14","761"
"1601","23","529"
"1602","19","662"
"1603","15","503"
"1604","10","425"
"1605","5","129"
"1606","22","815"
"1607","8","208"
"1608","18","635"
"1609","19","852"
"1610","27","957"
"1611","5","177"
"1612","1","64"
"1614","26","754"
"1615","26","920"
"1616","14","735"
"1617","32","1063"
"1618","18","833"
"1621","25","741"
"1622","16","446"
"1623","22","552"
"1624","19","449"
"1625","23","899"
"1626","25","727"
"1627","20","867"
"1628","23","525"
"1629","15","407"
"1630","11","667"
"1631","17","379"
"1632","14","546"
